time,gdp_growth,exports,imports,capital_formation,unemployment,house_price_index,labor_costs_index,production
2011-05-01,-0.059437666666666666,0.336951,-0.363507,-1.8708146666666665,4.81111111111111,109.40366666666668,0.5996771666666667,-1.1015184734852002
2011-06-01,-0.029310333333333334,0.7170289999999999,0.6798310000000001,-1.2065013333333332,4.888888888888889,109.23033333333333,0.6135205333333333,0.43184385604088993
2011-07-01,0.000817,1.097107,1.723169,-0.542188,4.9666666666666694,109.057,0.6273639,1.96520618556698
2011-08-01,-0.20004533333333333,0.536856,1.0250436666666665,-0.481966,5.0888888888888895,108.417,0.9578402666666666,0.35173829959337
2011-09-01,-0.40090766666666666,-0.023395000000000055,0.3269183333333332,-0.42174399999999995,5.21111111111111,107.777,1.2883166333333333,-1.26172958638024
2011-10-01,-0.60177,-0.583646,-0.371207,-0.36152199999999995,5.33333333333333,107.137,1.618793,-2.87519747235385
2011-11-01,-0.4716733333333334,0.032486000000000015,0.003232333333333337,-1.127896,5.388888888888887,106.45666666666666,1.1063575533333334,-1.2444929581469764
2011-12-01,-0.3415766666666667,0.648618,0.3776716666666667,-1.89427,5.444444444444444,105.77633333333334,0.5939221066666667,0.3862115560598971
2012-01-01,-0.21148000000000003,1.26475,0.752111,-2.660644,5.5,105.096,0.08148666,2.0169160702667703
2012-02-01,-0.12336233333333334,1.480532,1.019271,-1.9365926666666669,5.566666666666666,104.516,0.2668859066666667,1.7697807815383837
2012-03-01,-0.035244666666666646,1.696314,1.2864309999999999,-1.2125413333333335,5.633333333333334,103.936,0.4522851533333333,1.5226454928099968
2012-04-01,0.052873,1.912096,1.553591,-0.48849,5.7,103.35600000000001,0.6376844,1.2755102040816102
2012-05-01,-0.10731066666666664,1.3056100000000002,0.9702419999999999,-1.2116236666666667,5.766666666666667,102.01566666666668,0.6354021333333334,-0.2096934491680933
2012-06-01,-0.2674943333333333,0.6991240000000001,0.38689299999999993,-1.9347573333333332,5.833333333333334,100.67533333333333,0.6331198666666666,-1.6948971024177968
2012-07-01,-0.42767799999999995,0.092638,-0.196456,-2.657891,5.9,99.335,0.6308376,-3.1801007556675
2012-08-01,-0.518617,0.5608076666666666,0.026927333333333303,-3.0366893333333334,6.01111111111111,99.475,0.7343535999999999,-1.98998586963199
2012-09-01,-0.609556,1.0289773333333332,0.25031066666666657,-3.4154876666666665,6.12222222222222,99.615,0.8378696,-0.7998709835964801
2012-10-01,-0.700495,1.497147,0.47369399999999995,-3.794286,6.23333333333333,99.755,0.9413855999999999,0.39024390243903
2012-11-01,-0.3591723333333333,1.0331446666666666,0.1204783333333333,-3.446678,6.41111111111111,98.85133333333333,0.64066883,1.1347981701391368
2012-12-01,-0.017849666666666653,0.5691423333333333,-0.23273733333333335,-3.09907,6.58888888888889,97.94766666666666,0.33995206,1.8793524378392437
2013-01-01,0.323473,0.10514000000000001,-0.585953,-2.751462,6.76666666666667,97.044,0.03923529,2.6239067055393503
2013-02-01,0.15502766666666667,0.06550533333333333,0.10971633333333342,-0.7691183333333333,6.88888888888889,96.37733333333333,0.06394952666666667,1.8334462212013167
2013-03-01,-0.013417666666666661,0.025870666666666667,0.8053856666666668,1.2132253333333334,7.01111111111111,95.71066666666667,0.08866376333333334,1.0429857368632829
2013-04-01,-0.18186300000000002,-0.013763999999999998,1.501055,3.195569,7.13333333333333,95.044,0.11337799999999999,0.252525252525249
2013-05-01,0.07973866666666665,0.3459766666666667,1.293174,3.2571833333333333,7.266666666666664,95.24733333333333,-0.049532300000000015,-0.7762342145213705
2013-06-01,0.34134033333333336,0.7057173333333334,1.085293,3.3187976666666668,7.399999999999997,95.45066666666666,-0.21244260000000004,-1.8049936815679901
2013-07-01,0.602942,1.065458,0.8774120000000001,3.380412,7.5333333333333306,95.654,-0.37535290000000004,-2.8337531486146097
2013-08-01,0.613776,1.1656476666666666,1.5848196666666667,4.401792,7.566666666666664,95.55066666666666,-0.6717269333333333,-1.6299335097482543
2013-09-01,0.62461,1.2658373333333335,2.2922273333333334,5.423172,7.599999999999997,95.44733333333333,-0.9681009666666667,-0.426113870881899
2013-10-01,0.635444,1.366027,2.999635,6.444552,7.63333333333333,95.344,-1.264475,0.777705767984456
2013-11-01,0.3920733333333334,1.207035,1.5432713333333334,1.283491333333333,7.699999999999997,95.50399999999999,-0.434497,-0.6605219853308425
2013-12-01,0.1487026666666667,1.048043,0.08690766666666683,-3.8775693333333336,7.766666666666664,95.664,0.39548099999999997,-2.098749738646141
2014-01-01,-0.09466799999999999,0.889051,-1.369456,-9.03863,7.83333333333333,95.824,1.225459,-3.53697749196144
2014-02-01,0.13187,0.9050143333333334,-0.7592126666666666,-6.318866666666667,7.744444444444444,95.96733333333333,0.7256865000000001,-1.2690961057520633
2014-03-01,0.358408,0.9209776666666667,-0.1489693333333333,-3.5991033333333338,7.655555555555557,96.11066666666666,0.22591400000000006,0.9987852804573132
2014-04-01,0.584946,0.936941,0.46127399999999996,-0.87934,7.56666666666667,96.25399999999999,-0.2738585,3.26666666666669
