gdp_growth,exports,imports,capital_formation,unemployment,house_price_index,labor_costs_index,production,long_interest,short_interest,date
-0.181863,-0.013763999999999998,1.501055,3.195569,7.13333333333333,95.044,0.113378,0.252525252525249,1.661,1.661,2013-04-01
0.07973866666666665,0.3459766666666667,1.293174,3.2571833333333333,7.266666666666664,95.24733333333332,-0.04953230000000002,-0.7762342145213705,1.686,1.686,2013-05-01
0.34134033333333336,0.7057173333333334,1.085293,3.3187976666666668,7.399999999999998,95.45066666666666,-0.21244260000000004,-1.80499368156799,2.0,2.0,2013-06-01
0.602942,1.065458,0.8774120000000001,3.380412,7.53333333333333,95.654,-0.3753529,-2.8337531486146097,2.032,2.032,2013-07-01
0.613776,1.1656476666666666,1.5848196666666667,4.4017919999999995,7.566666666666664,95.55066666666666,-0.6717269333333333,-1.6299335097482543,2.196,2.196,2013-08-01
0.62461,1.2658373333333337,2.2922273333333334,5.423172,7.599999999999998,95.44733333333332,-0.9681009666666668,-0.426113870881899,2.322,2.322,2013-09-01
0.635444,1.366027,2.999635,6.444552,7.63333333333333,95.344,-1.264475,0.777705767984456,2.177,2.177,2013-10-01
0.3920733333333334,1.207035,1.5432713333333334,1.283491333333333,7.6999999999999975,95.504,-0.434497,-0.6605219853308425,2.056,2.056,2013-11-01
0.1487026666666667,1.048043,0.08690766666666683,-3.8775693333333336,7.766666666666664,95.664,0.395481,-2.098749738646141,2.158,2.158,2013-12-01
-0.094668,0.889051,-1.369456,-9.03863,7.83333333333333,95.824,1.225459,-3.53697749196144,2.0980000000000003,2.0980000000000003,2014-01-01
0.13187000000000001,0.9050143333333334,-0.7592126666666666,-6.3188666666666675,7.744444444444443,95.96733333333331,0.7256865000000001,-1.269096105752063,1.891,1.891,2014-02-01
0.358408,0.9209776666666668,-0.1489693333333333,-3.5991033333333338,7.6555555555555586,96.11066666666666,0.2259140000000001,0.9987852804573132,1.81,1.81,2014-03-01
0.584946,0.936941,0.461274,-0.87934,7.56666666666667,96.254,-0.2738585,3.26666666666669,1.846,1.846,2014-04-01
0.473228,1.2613236666666667,0.8970496666666665,-0.5173716666666668,7.444444444444446,96.46066666666664,-0.06105936666666668,1.876508141453284,1.709,1.709,2014-05-01
0.36151,1.5857063333333334,1.332825333333333,-0.15540333333333345,7.322222222222223,96.66733333333332,0.15173976666666664,0.486349616239877,1.598,1.598,2014-06-01
0.249792,1.910089,1.768601,0.206565,7.2,96.874,0.3645389,-0.9038089089735292,1.4069999999999998,1.4069999999999998,2014-07-01
0.4652183333333333,1.7374086666666666,1.6606696666666665,1.1724216666666667,7.177777777777778,97.00733333333334,0.26795598,-1.1780007275892994,1.2,1.2,2014-08-01
0.6806446666666666,1.5647283333333333,1.552738333333333,2.138278333333333,7.155555555555552,97.14066666666666,0.17137306,-1.4521925462050698,1.154,1.154,2014-09-01
0.896071,1.392048,1.444807,3.104135,7.13333333333333,97.274,0.07479014,-1.72638436482084,1.032,1.032,2014-10-01
0.7958976666666666,3.1730273333333336,1.6068696666666666,-5.0130300000000005,7.12222222222222,97.62433333333334,-0.5395312400000001,-0.5432552488486269,0.934,0.934,2014-11-01
0.6957243333333334,4.954006666666666,1.768932333333333,-13.130195,7.111111111111111,97.97466666666666,-1.15385262,0.6398738671235864,0.777,0.777,2014-12-01
0.595551,6.734986,1.930995,-21.24736,7.1,98.325,-1.768174,1.8230029830958,0.52,0.52,2015-01-01
0.5002606666666667,3.4293566666666666,10.676092,39.547709666666655,7.044444444444442,98.59166666666668,-1.1327331333333333,0.13026587761941655,0.416,0.416,2015-02-01
0.4049703333333333,0.12372733333333308,19.421189000000002,100.34277933333333,6.988888888888887,98.85833333333332,-0.4972922666666666,-1.5624712278569668,0.326,0.326,2015-03-01
0.30968,-3.181902,28.166286,161.137849,6.93333333333333,99.125,0.1381486,-3.25520833333335,0.314,0.314,2015-04-01
0.3207406666666667,-1.7283553333333332,12.745793333333333,91.73792166666664,6.8888888888888875,99.79166666666669,0.16581543333333335,-2.2935125990728378,0.754,0.754,2015-05-01
