year,date,country,number_of_companies,number_of_defaults,default_rate,gdp_growth,exports,imports,labor_costs_index,production,short_interest
2012,2012-03-01,Netherlands,298142,4033,0.0135271112422939,-0.03524466666666665,1.696314,1.2864309999999999,0.4522851533333333,1.5226454928099968,2.249
2012,2012-04-01,Netherlands,298142,4044,0.0135640064130515,0.052873,1.912096,1.553591,0.6376844,1.2755102040816102,2.293
2012,2012-05-01,Netherlands,298142,4124,0.0138323349276519,-0.10731066666666664,1.3056100000000002,0.970242,0.6354021333333334,-0.2096934491680933,1.974
2012,2012-06-01,Netherlands,298142,4192,0.0140604141650623,-0.2674943333333333,0.6991240000000001,0.3868929999999999,0.6331198666666666,-1.6948971024177968,1.926
2012,2012-07-01,Netherlands,298142,4282,0.0143622837439878,-0.42767799999999995,0.092638,-0.196456,0.6308376,-3.1801007556675,1.7469999999999999
2012,2012-08-01,Netherlands,298142,4277,0.0143455132118252,-0.518617,0.5608076666666666,0.026927333333333303,0.7343535999999999,-1.9899858696319896,1.757
2012,2012-09-01,Netherlands,298142,4236,0.0142079948480925,-0.609556,1.0289773333333332,0.25031066666666657,0.8378696,-0.7998709835964801,1.844
2012,2012-10-01,Netherlands,298142,4262,0.0142952016153377,-0.700495,1.497147,0.47369399999999995,0.9413855999999999,0.39024390243903,1.767
2012,2012-11-01,Netherlands,298142,4206,0.0141073716551174,-0.3591723333333333,1.0331446666666666,0.1204783333333333,0.64066883,1.1347981701391368,1.65
2012,2012-12-01,Netherlands,298142,4153,0.0139296040141946,-0.017849666666666653,0.5691423333333333,-0.2327373333333333,0.33995206,1.879352437839244,1.5619999999999998
2013,2013-01-01,Netherlands,272201,4126,0.0151579163926657,0.323473,0.10514000000000001,-0.585953,0.03923529,2.6239067055393503,1.7269999999999999
2013,2013-02-01,Netherlands,272201,4197,0.0154187530538095,0.15502766666666667,0.06550533333333332,0.10971633333333344,0.06394952666666667,1.8334462212013167,1.827
2013,2013-03-01,Netherlands,272201,4194,0.0154077317864372,-0.01341766666666666,0.02587066666666667,0.8053856666666668,0.08866376333333334,1.0429857368632829,1.665
2013,2013-04-01,Netherlands,272201,4204,0.0154444693443448,-0.18186300000000002,-0.013763999999999998,1.501055,0.11337799999999999,0.252525252525249,1.661
2013,2013-05-01,Netherlands,272201,4176,0.0153416041822036,0.07973866666666665,0.3459766666666667,1.293174,-0.04953230000000002,-0.7762342145213705,1.686
2013,2013-06-01,Netherlands,272201,4146,0.0152313915084809,0.34134033333333336,0.7057173333333334,1.085293,-0.21244260000000004,-1.80499368156799,2.0
2013,2013-07-01,Netherlands,272201,4118,0.0151285263463397,0.602942,1.065458,0.8774120000000001,-0.37535290000000004,-2.8337531486146097,2.032
2013,2013-08-01,Netherlands,272201,4108,0.0150917887884321,0.613776,1.1656476666666666,1.5848196666666667,-0.6717269333333333,-1.6299335097482543,2.1959999999999997
2013,2013-09-01,Netherlands,272201,4075,0.0149705548473371,0.62461,1.2658373333333337,2.2922273333333334,-0.9681009666666668,-0.426113870881899,2.322
2013,2013-10-01,Netherlands,272201,4036,0.0148272783714975,0.635444,1.366027,2.999635,-1.264475,0.777705767984456,2.177
2013,2013-11-01,Netherlands,272201,3978,0.0146142005356336,0.3920733333333334,1.207035,1.5432713333333334,-0.434497,-0.6605219853308425,2.056
2013,2013-12-01,Netherlands,272201,3950,0.0145113353734924,0.1487026666666667,1.048043,0.08690766666666683,0.39548099999999997,-2.098749738646141,2.158
2014,2014-01-01,Netherlands,294149,3850,0.0130886047547331,-0.09466799999999999,0.889051,-1.369456,1.225459,-3.53697749196144,2.0980000000000003
2014,2014-02-01,Netherlands,294149,3756,0.0127690388204617,0.13187,0.9050143333333334,-0.7592126666666666,0.7256865000000001,-1.2690961057520629,1.891
2014,2014-03-01,Netherlands,294149,3663,0.012452872523789,0.358408,0.9209776666666668,-0.1489693333333333,0.2259140000000001,0.9987852804573132,1.81
2014,2014-04-01,Netherlands,294149,3649,0.0124052775974081,0.584946,0.936941,0.46127399999999996,-0.2738585,3.26666666666669,1.8459999999999999
2014,2014-05-01,Netherlands,294149,3538,0.012027917823959998,0.473228,1.2613236666666667,0.8970496666666665,-0.06105936666666668,1.8765081414532843,1.709
2014,2014-06-01,Netherlands,294149,3446,0.0117151511648858,0.36151,1.5857063333333334,1.332825333333333,0.15173976666666664,0.48634961623987705,1.598
2014,2014-07-01,Netherlands,294149,3336,0.0113411910290363,0.24979200000000001,1.910089,1.7686009999999999,0.3645389,-0.9038089089735292,1.4069999999999998
2014,2014-08-01,Netherlands,294149,3244,0.0110284243699622,0.4652183333333333,1.7374086666666666,1.6606696666666665,0.26795598,-1.1780007275892994,1.2
2014,2014-09-01,Netherlands,294149,3231,0.0109842290811799,0.6806446666666666,1.5647283333333333,1.552738333333333,0.17137306,-1.4521925462050698,1.1540000000000001
2014,2014-10-01,Netherlands,294149,3176,0.0107972490132552,0.896071,1.392048,1.444807,0.07479014,-1.7263843648208401,1.032
2014,2014-11-01,Netherlands,294149,3147,0.0106986595228949,0.7958976666666666,3.1730273333333336,1.6068696666666666,-0.5395312400000001,-0.5432552488486269,0.934
